calculation_id,record_type,metric,formula,input_values,result,result_unit,source_ids,display_rounding,notes
calc_001,calculation,franchise_share_exact,"(44016 / 46028) * 100","44016;46028",95.6287477188,percent,sec_10q_2026q2,95.63%,"Exact count ratio; the issuer's approximately 95% wording is a separately stored fact and this is not land ownership."
calc_002,calculation,raw_close_drawdown,"(260.06 / 341.06 - 1) * 100","end raw close=260.06;peak raw close=341.06",-23.7494868938,percent,"yahoo_chart_mcd_2026-08-29;chartexchange_mcd_daily",-23.8%,"Like-for-like raw close to raw close through the 2026-08-27 close."
calc_003,calculation,adjusted_close_drawdown,"(260.059998 / 336.880554 - 1) * 100","end adjusted close=260.059998;peak adjusted close=336.880554",-22.8034996642,percent,"yahoo_chart_mcd_2026-08-29;digrin_mcd_monthly",-22.80%,"Like-for-like adjusted close to adjusted close; do not mix the 341.06 raw peak with 336.880554 adjusted peak."
calc_004,calculation,raw_close_peak,"MAX(price_history.raw_close) over 251 rows","price_history.csv raw_close",341.06,USD/share,yahoo_chart_mcd_2026-08-29,$341.06,"Maximum closing price is 2026-02-27."
calc_005,calculation,intraday_high_peak,"MAX(price_history.high) over 251 rows","price_history.csv high",341.75,USD/share,yahoo_chart_mcd_2026-08-29,$341.75,"Maximum intraday high is 2026-03-02; it is not the closing-price peak."
calc_006,calculation,annualized_dividend,"1.86 * 4","quarterly dividend=1.86",7.44,USD/share,mcd_q3_2026_dividend_ir,$7.44,"Forward annualized dividend using the latest declared quarterly amount."
calc_007,calculation,forward_dividend_yield,"(7.44 / 260.06) * 100","annualized dividend=7.44;raw close=260.06",2.8608782809,percent,"mcd_q3_2026_dividend_ir;yahoo_chart_mcd_2026-08-29",2.86%,"Simple forward yield at the 2026-08-27 raw close; secondary FinanceCharts page provides a cross-check."
calc_008,calculation,current_ttm_pe,"260.06 / 12.36","raw close=260.06;TTM EPS=12.36",21.0404530744,multiple,"yahoo_chart_mcd_2026-08-29;fullratio_mcd_pe",21.04x,"Recomputed current TTM P/E; FullRatio reports 21.04x."
calc_009,calculation,current_vs_5y_median,"((260.06 / 12.36) / 26.2 - 1) * 100","current P/E=260.06/12.36;5y median=26.2",-19.6929271968,percent,"fullratio_mcd_pe;stockresearch_mcd_valuation",-19.69%,"Current TTM P/E versus the StockResearch five-year weekly median."
calc_010,calculation,current_vs_20y_median,"((260.06 / 12.36) / 23.7 - 1) * 100","current P/E=260.06/12.36;20y median=23.7",-11.2217169855,percent,"fullratio_mcd_pe;tgmcharts_mcd_pe",-11.22%,"Current TTM P/E versus the TGMCharts 20-year median; below median does not mean historical low."
calc_011,calculation,h1_free_cash_flow,"5222 - 1516","H1 OCF=5222;H1 capex outlay=1516",3706,USD millions,sec_10q_2026q2,$3.706B,"Free cash flow recomputed as cash provided by operations less capital expenditures."
calc_012,calculation,h1_fcf_conversion,"(3706 / 4345) * 100","H1 FCF=3706;H1 net income=4345",85.2934407365,percent,sec_10q_2026q2,85.29%,"FCF divided by GAAP H1 net income."
calc_013,calculation,h1_rent_share,"(5264 / 8399) * 100","H1 rents=5264;H1 franchised revenue=8399",62.6741278724,percent,sec_10q_2026q2,62.67%,"Rent share of reported H1 franchised restaurant revenue; it is not a profit margin."
calc_014,calculation,h1_royalty_share,"(3096 / 8399) * 100","H1 royalties=3096;H1 franchised revenue=8399",36.8615311347,percent,sec_10q_2026q2,36.86%,"Royalty share of reported H1 franchised restaurant revenue."
calc_015,calculation,h1_initial_fee_share,"(39 / 8399) * 100","H1 initial fees=39;H1 franchised revenue=8399",0.464340993,percent,sec_10q_2026q2,0.46%,"Initial-fee share of reported H1 franchised restaurant revenue."
calc_016,calculation,h1_revenue_yoy,"(13616 / 12799 - 1) * 100","2026 H1 revenue=13616;2025 H1 revenue=12799",6.3833111962,percent,sec_10q_2026q2,6.38%,"Arithmetic growth from rounded SEC statement amounts; the company reports 6% growth and 3% excluding currency translation."
calc_017,calculation,h1_net_income_yoy,"(4345 / 4121 - 1) * 100","2026 H1 net income=4345;2025 H1 net income=4121",5.4355738898,percent,sec_10q_2026q2,5.44%,"Arithmetic growth from rounded SEC statement amounts; the company reports 5%."
calc_018,calculation,h1_operating_income_yoy,"(6292 / 5880 - 1) * 100","2026 H1 operating income=6292;2025 H1 operating income=5880",7.0068027211,percent,sec_10q_2026q2,7.01%,"Arithmetic growth from rounded SEC statement amounts; the company reports 7%."
calc_019,calculation,h1_diluted_eps_yoy,"(6.10 / 5.74 - 1) * 100","2026 H1 diluted EPS=6.10;2025 H1 diluted EPS=5.74",6.2717770035,percent,sec_10q_2026q2,6.27%,"Arithmetic growth from rounded per-share values; the company reports 6%."
calc_020,calculation,h1_ocf_yoy,"(5222 / 4426 - 1) * 100","2026 H1 OCF=5222;2025 H1 OCF=4426",17.9846362404,percent,sec_10q_2026q2,17.98%,"Arithmetic growth from rounded SEC cash-flow amounts."
calc_021,calculation,h1_capex_yoy,"(1516 / 1295 - 1) * 100","2026 H1 capex=1516;2025 H1 capex=1295",17.0656370656,percent,sec_10q_2026q2,17.07%,"Arithmetic growth in positive capital-expenditure outlays."
calc_022,calculation,h1_franchise_revenue_reconciliation,"5264 + 3096 + 39","rents=5264;royalties=3096;initial fees=39",8399,USD millions,sec_10q_2026q2,$8.399B,"Components reconcile to reported H1 franchised revenue."
calc_023,reported_secondary,tgmcharts_lower_readings_percent,"Vendor statement; raw 20-year observation series was not supplied","vendor stated lower-reading share=39",39,percent,tgmcharts_mcd_pe,about 39%,"This displayed percentage is recorded as a vendor fact and cannot be independently recomputed from the stored daily price file; do not present it as an internally calculated percentile."
calc_024,reported_fact,q2_us_comparable_sales,"Issuer-reported percentage; underlying transaction and check components are not disclosed","Q2 U.S. comparable sales=0.8",0.8,percent,sec_10q_2026q2,+0.8%,"The filing reports the percentage and separately says negative comparable guest counts were partly offset by check growth."
calc_025,reported_fact,h1_us_comparable_sales,"Issuer-reported percentage; underlying transaction and check components are not disclosed","H1 U.S. comparable sales=2.3",2.3,percent,sec_10q_2026q2,+2.3%,"The filing reports the percentage and separately says negative comparable guest counts were partly offset by check growth."
calc_026,reported_fact,q2_global_comparable_sales,"Issuer-reported percentage; underlying transaction and check components are not disclosed","Q2 global comparable sales=1.3",1.3,percent,sec_10q_2026q2,+1.3%,"Issuer-reported Q2 global comparable sales increase."
calc_027,reported_fact,h1_global_comparable_sales,"Issuer-reported percentage; underlying transaction and check components are not disclosed","H1 global comparable sales=2.5",2.5,percent,sec_10q_2026q2,+2.5%,"Issuer-reported H1 global comparable sales increase."
calc_028,reported_fact,franchised_percentage_company_wording,"Issuer-reported approximate percentage; exact count ratio is calculated in franchise_share_exact","company wording=approximately 95",95,percent,sec_10q_2026q2,about 95%,"This is the issuer's rounded wording, not a recomputed ratio and not land ownership."
